population-all sexes,population-male,population-female,population-transgender,literacy % (10+ years)-female,literacy % (10+ years)-transgender,primary but below matric-male,primary but below matric-female,primary but below matric-transgender,matric but below degree and others-male,matric but below degree and others-female,matric but below degree and others-transgender,degree and above-male,degree and above-female,degree and above-transgender,religion-muslim,religion-nonmuslim,10 years and above,18 years and above,60 years and above,worked (10 years and above),holding cnic (18 years and above),circle code,literacy % (10+ years)-all sexes,literacy % (10+ years)-male,male voters,female voters
8843,4464,4379,,90.13,,717,736,,1131,1125,,1320,1185,,8652,191,7263,5908,722,1534,5465,2592402,91.27,92.39,2042,1923
14352,7644,6692,16,58.58,31.25,1685,1099,3,917,713,,472,440,,14017,335,10756,8117,672,4294,6440,2592403,63.74,68.25,2103,1652
23908,11893,12011,4,87.81,100,2001,1857,1,2971,3088,2,3124,3088,1,23594,314,19292,15907,1900,6273,14481,2592404,89.6,91.43,3445,3281
5814,3124,2687,3,89.71,66.67,562,513,,866,783,1,1019,662,,5716,98,4929,3898,221,1687,3614,2592501,92.76,95.4,1629,1501
6922,3746,3174,2,86.39,,598,453,,991,790,,1053,888,,6803,119,5639,4701,568,2224,4540,2592502,87.85,89.13,2286,2044
15734,8471,7260,3,63,66.67,1990,1409,1,1632,1121,1,703,482,,14222,1512,12040,9456,812,5340,7958,2592503,68.36,72.74,2566,1961
13161,6710,6451,,76.08,,1146,955,,1481,1472,,1386,1266,,13028,133,10575,8414,976,3211,7547,2592504,78.5,80.8,2275,1950
10457,5392,5061,4,82.38,100,728,676,2,1462,1227,2,1395,1260,,10350,107,8387,6866,916,2988,6453,2592505,84,85.47,1639,1571
7309,3685,3624,,87.66,,573,548,,1002,952,,958,864,,7212,97,5845,4671,583,2115,4312,2592506,89.92,92.15,1686,1588
12452,6400,6050,2,85.41,100,1382,1352,,1897,1552,,1182,969,2,12189,263,9920,7839,562,3543,7057,2592507,89.31,93,2702,2246
1946,934,1011,1,86.58,,141,154,,268,301,,264,247,,1934,12,1591,1313,189,556,1194,2592601,88.25,90.17,432,362
6351,3268,3081,2,90.44,100,584,561,,1016,889,,797,770,2,6280,71,5206,4247,585,1217,3955,2592602,92.05,93.58,2314,2123
11613,5834,5779,,90.99,,1025,978,,1579,1613,,1482,1421,,11578,35,9411,7622,1100,2472,7082,2592603,92.02,93.05,4054,3907
6727,3307,3419,1,95.08,100,504,547,,914,996,,1131,1031,1,6684,43,5536,4571,842,1962,4371,2592604,96.37,97.69,2526,2458
14325,7529,6795,1,69.93,,1538,1186,,1323,1131,,981,901,,13411,914,11031,8562,964,3767,7283,2592701,72.56,74.93,2887,2450
12386,6629,5754,3,61.1,66.67,1436,1034,2,1291,828,,529,451,,11713,673,9457,7239,592,4203,5919,2592702,67.62,73.24,3129,2491
7617,3914,3703,,87.52,,710,666,,1021,929,,971,919,,7440,177,6165,5002,736,2350,4645,2592703,88.56,89.55,2408,2319
3027,1595,1432,,89.64,,360,307,,497,381,,370,304,,2884,143,2570,2071,89,1148,1960,2592704,92.18,94.43,1146,952
14816,8023,6793,,86.89,,1463,1173,,1971,1649,,2036,1572,,14388,428,11962,9750,1280,4317,9028,2592801,88.68,90.18,3881,3459
11962,6047,5915,,93.15,,978,952,,1658,1690,,1955,1776,,11739,223,9984,8213,1460,1842,7915,2592802,93.67,94.18,4059,3936
8430,4336,4094,,85.8,,751,793,,1272,1075,,1060,829,,8249,181,6848,5342,473,1767,4943,2592901,88.62,91.29,2933,2611
7373,3791,3582,,81.96,,845,798,,1003,857,,575,496,,7112,261,5853,4645,433,1026,4204,2592902,84.9,87.75,2880,2550
6917,3407,3509,1,92.7,,684,456,,933,1167,,1064,1071,,6697,220,5940,4966,448,1155,4772,2592903,94.34,96.08,2515,2338
8964,4892,4072,,90.1,,969,624,,1481,1121,,1260,1234,,8870,94,7648,6313,801,2272,5865,2592904,91.15,92,2725,2643
7239,3709,3530,,92.84,,592,538,,1058,1060,,1186,1004,,7125,114,5927,4845,680,2013,4613,2593001,94.55,96.18,3395,3275
4108,2137,1970,1,92.15,100,357,326,,594,508,1,635,568,,3928,180,3342,2761,392,1257,2597,2593002,93.51,94.76,1139,1034
13506,6860,6646,,93.55,,1137,1080,,2158,2074,,1809,1699,,13356,150,11055,9027,1249,3367,8463,2593003,94.71,95.84,5103,4757
9453,4834,4617,2,92.07,50,986,878,,1514,1515,,998,893,,9408,45,7583,6150,739,2648,5565,2593004,93.51,94.93,2809,2531
16064,8204,7857,3,83.59,66.67,2007,1823,,2228,2065,2,924,955,,15864,200,12409,9914,1049,3963,8670,2593101,85.04,86.45,3869,3158
23120,11677,11441,2,88.22,,2650,2533,,3427,3147,,1765,1764,,22935,185,18192,14523,1578,6374,12865,2593102,89.54,90.85,6190,5201
12790,6557,6232,1,88.68,,1745,1495,,1892,1783,,748,742,,12737,53,10124,8063,866,3647,7036,2593201,89.63,90.54,4382,3741
14377,7385,6990,2,83.79,100,1993,1667,,1793,1857,1,573,602,,14275,102,11085,8694,900,4315,7553,2593202,85.04,86.23,2790,2251
12645,6607,6032,6,81,83.33,1669,1326,1,1617,1496,,483,517,,12540,105,9762,7644,778,3717,6678,2593203,82.6,84.05,3371,2641
10613,5778,4830,5,90.93,80,1472,1048,1,1585,1414,1,1025,797,,10499,114,8640,7028,739,3458,6353,2593301,91.41,91.81,3542,2988
6546,3912,2632,2,88.33,50,1087,731,,1238,734,,492,231,,6497,49,5409,4435,368,1060,3870,2593302,89.24,89.83,2039,1641
5935,3122,2813,,80.12,,801,592,,747,831,,189,198,,5527,408,4719,3798,471,921,3365,2593303,79.44,78.83,2160,1843
5522,3103,2415,4,78.88,25,910,599,,632,587,,263,187,1,5521,1,4446,3548,340,1781,2990,2593304,77.17,75.99,1916,1441
6852,3933,2915,4,87.44,25,721,553,,1163,840,1,864,508,,6818,34,5656,4712,431,1741,4251,2593305,87.68,87.92,2607,2296
14462,7832,6630,,93.54,,1482,1261,,2510,1940,,1635,1337,,14358,104,11740,9594,1035,4241,8743,2593306,94.78,95.8,4977,4180
12983,7183,5800,,92.49,,1433,1050,,2464,1783,,1700,1442,,12595,388,11007,9031,984,3719,8337,2593307,94.31,95.76,3593,3357
13818,6950,6867,1,89.96,100,2014,1745,,2013,2047,,759,814,1,13725,93,11031,8785,1012,3113,8016,2593401,90.76,91.55,4657,3846
11776,6146,5630,,89.31,,1538,1300,,1713,1577,,858,924,,11710,66,9423,7442,859,3292,6815,2593402,90.19,91.01,4662,4039
12386,6283,6102,1,83.8,100,1405,1184,,1682,1703,1,931,965,,11500,886,9905,7986,853,3223,7147,2593501,84.39,84.96,4343,3790
6265,3221,3043,1,81.79,,734,619,,946,889,,395,405,,6231,34,4992,3977,465,1293,3452,2593502,83.29,84.78,1592,1344
5601,2904,2697,,89.46,,795,587,,840,866,,313,354,,5547,54,4434,3444,400,1491,3131,2593503,90.46,91.39,1658,1025
14796,9212,5582,2,90.81,50,1169,746,1,1813,2013,,1417,1243,,14185,611,13048,11486,930,5574,10910,2593601,85.84,83.01,3685,3483
7921,4133,3788,,81.17,,1072,799,,918,804,,538,506,,7807,114,6292,4939,433,1768,4210,2593602,84.54,87.61,2796,2381
12725,6877,5846,2,80.95,100,1754,1384,,1797,1428,1,1014,646,1,12532,193,10190,8276,812,3907,7387,2593603,84.5,87.44,3802,3164
12554,6531,6020,3,77.71,66.67,1551,1252,,1477,1238,1,819,768,,11633,921,9800,7837,804,1790,6876,2593604,81.01,84.05,2875,2398
13101,7194,5906,1,75.12,,1832,1319,,1943,1308,,633,473,,9608,3493,10450,8399,757,3399,7215,2593605,80.22,84.27,3728,3163
5646,2830,2816,,94.49,,572,601,,934,976,,559,497,,5622,24,4543,3710,491,1526,3428,2593701,95.62,96.78,2935,2638
9448,4733,4710,5,80.85,20,1191,1084,,1183,1202,1,419,462,,9380,68,7293,5768,628,2239,4953,2593702,81.94,83.12,2368,2131
13985,7185,6791,9,84.54,77.78,2104,1674,2,1657,1642,1,457,548,1,13285,700,10719,8576,889,3889,7174,2593703,85.59,86.58,6687,5323
8789,4584,4201,4,60.85,75,1167,906,1,833,641,1,192,226,1,8707,82,6472,5020,449,2854,3973,2593801,65.51,69.76,2308,1671
11000,5707,5292,1,57.2,,1546,1100,,691,564,,91,90,,10938,62,7860,5771,472,2873,4290,2593802,64.01,70.23,2745,1678
11650,6020,5630,,62.32,,1730,1391,,790,679,,177,174,,11630,20,8575,6476,496,1636,4910,2593803,66.38,70.17,2936,1925
23054,11961,11092,1,57.36,,3028,2458,,1307,1125,,241,225,,22388,666,16692,12434,936,6066,9289,2593804,60.74,63.88,6027,4058
24512,12861,11642,9,59.94,33.33,3331,2530,2,1785,1448,,389,343,,24195,317,17680,13271,1021,5102,10395,2593805,63.93,67.52,4699,2953
6967,3608,3358,1,72.94,100,615,460,1,611,588,,763,680,,6750,217,5296,4229,524,1043,3661,2610101,76.4,79.61,488,327
14693,7794,6899,,84.03,,1241,1012,,1818,1634,,1919,1663,,14458,235,11689,9512,1237,3857,8712,2610102,85.1,86.04,641,405
67603,35803,31781,19,67.62,47.37,9057,6260,1,6653,6018,6,2334,1779,,59323,8280,51344,40077,2682,19068,33880,2610103,71.98,75.76,9901,7388
79610,41882,37722,6,66.87,66.67,11117,8560,3,7400,5595,,3136,2792,,76696,2914,59720,46354,4045,23429,39718,2610104,71.5,75.6,18397,12599
27190,14964,12224,2,81.07,100,2652,1793,1,3075,2612,,3004,2707,1,25798,1392,21519,17628,1989,8207,16305,2610105,83.52,85.45,2824,2319
7429,3944,3485,,72.86,,784,531,,695,563,,831,724,,6647,782,5886,4644,615,1920,4253,2610106,76.98,80.55,1495,1049
60671,32782,27885,4,73.45,25,6743,4696,1,6516,4723,,5797,4741,,59206,1465,47146,37527,3611,16078,33133,2610107,77.86,81.5,7502,5791
8774,4910,3863,1,63.31,100,1356,835,,725,314,1,125,79,,8333,441,6519,5054,365,2857,4167,2610201,72.11,78.44,1617,920
10363,5379,4984,,54.64,,1316,938,,517,363,,71,65,,8752,1611,7491,5681,525,3056,4157,2610202,59.34,63.6,2904,1756
13932,7242,6690,,48.84,,1716,1270,,823,619,,155,152,,12778,1154,10372,7917,748,3876,5699,2610203,54.17,59.07,3700,2606
8304,4347,3957,,40.12,,874,682,,271,209,,29,17,,7620,684,5895,4366,434,2375,2867,2610204,44.36,48.18,2086,1356
81508,42702,38783,23,54.85,21.74,11521,8430,2,5915,4100,1,981,909,,77508,4000,59631,45149,3983,23194,36267,2610205,61.08,66.68,20339,14773
4345,2303,2042,,31.81,,357,189,,88,40,,9,3,,4340,5,3037,2288,231,828,1538,2610206,37.27,42.11,1087,556
14017,7748,6268,1,50.7,,1548,1047,,939,411,,126,78,,12407,1610,10599,8093,604,3145,6672,2610207,56.36,60.72,3022,2022
10584,5451,5133,,48.44,,1387,1061,,605,459,,90,65,,9682,902,7684,5745,523,2995,4478,2610208,53.72,58.61,2519,1716
13170,6880,6288,2,41.96,,1355,956,,559,308,,81,54,,12371,799,9284,6832,657,2625,4686,2610301,46.83,51.14,2662,1546
36704,19738,16962,4,62.62,,5025,3442,,3332,2132,,1207,1061,,34783,1921,27501,21532,1834,9546,18204,2610302,68.62,73.63,7207,5169
28391,14636,13750,5,69.7,60,2920,2480,,2198,2072,1,1855,1561,2,27270,1121,21518,16928,2020,8287,14914,2610303,71.64,73.43,5930,4309
8066,4228,3838,,61.66,,1104,765,,573,458,,339,310,,7837,229,6124,4680,473,2428,3801,2610304,67.39,72.46,1791,1199
2542,1326,1216,,54.16,,350,313,,192,140,,38,21,,2523,19,1885,1446,158,601,1088,2610305,57.14,59.86,750,455
15414,8003,7409,2,50.81,,1955,1545,,750,630,,114,90,,14494,920,11093,8371,731,2653,5975,2610306,56.6,61.95,3965,2656
16705,8773,7925,7,52.32,,2352,1712,,1053,667,,171,128,,15697,1008,12284,9359,864,3995,7136,2610307,58.55,64.09,4416,3027
4956,2540,2416,,68.93,,545,514,,422,330,,280,254,,4647,309,3695,2783,331,131,2293,2610401,70.8,72.56,874,649
5366,2898,2467,1,62.05,,859,555,,416,268,,99,76,,4899,467,4016,3033,273,1630,2432,2610402,69.55,75.8,1717,1199
12609,6487,6122,,72.22,,1355,1104,,1033,896,,852,725,,11197,1412,9594,7469,798,3274,6161,2610403,75.07,77.76,2238,1516
21014,10857,10155,2,47.92,100,2703,1852,,1189,741,1,212,157,,19462,1552,15127,10863,997,4503,7805,2610404,56.03,63.44,5051,3104
15189,8022,7167,,59.46,,1854,1537,,1321,804,,239,162,,14754,435,10937,8041,684,3454,6448,2610405,64.46,68.86,1827,1314
4620,2417,2203,,51.41,,593,455,,239,168,,63,36,,4026,594,3387,2476,260,1176,1881,2610406,57.04,62.25,1411,984
13981,7573,6408,,64.6,,2099,1378,,1178,776,,435,384,,12195,1786,10425,8044,619,4659,6713,2610407,70.16,74.65,2813,1947
13374,7044,6330,,58.89,,2054,1448,,1172,730,,255,202,,12880,494,9708,7087,559,2224,5509,2610408,67.41,74.97,3894,2691
3233,1715,1517,1,52.29,100,415,317,1,216,172,,29,30,,3044,189,2452,1871,165,959,1457,2610409,55.83,58.85,693,564
4164,2275,1889,,46.77,,431,324,,204,153,,84,59,,4049,115,3034,2267,247,1053,1799,2610410,49.24,51.3,857,538
4813,2500,2312,1,52.83,100,646,510,,345,196,,47,45,,4744,69,3530,2591,317,1194,1891,2610501,60.25,67.08,1544,880
14265,7510,6755,,54.09,,1799,1320,,858,526,,145,129,,12709,1556,10377,7577,775,2924,5425,2610502,60.22,65.68,3596,2555
13877,7289,6586,2,41.24,,1623,1085,,619,323,,71,22,,13295,582,9619,7058,628,2295,4317,2610503,48.88,55.57,3169,1799
4261,2219,2042,,47.44,,602,424,,297,163,,50,39,,4002,259,3104,2363,281,1169,1635,2610504,55.96,63.78,1365,688
37260,19481,17774,5,61.23,60,5064,3878,3,2868,2185,,558,518,,35798,1462,26652,19603,1593,7619,15945,2610505,66.44,71.14,5782,4133
3531,2081,1449,1,56.24,100,799,316,1,264,135,,43,26,,3418,113,2647,2073,158,1366,1705,2610506,67.96,75.18,747,503
622,368,253,1,41.38,,72,40,,42,13,,10,1,,584,38,437,337,27,207,225,2610507,48.74,53.82,94,52
8775,4613,4161,1,50.28,100,1207,810,1,649,384,,106,94,,8366,409,6489,4771,588,1510,3419,2610508,59.69,68.17,2606,1665
31836,17475,14357,4,48.92,,4066,2636,,2310,900,,301,129,,30029,1807,23137,17359,1347,8444,14089,2610509,58.62,66.3,6118,4404
14964,7797,7166,1,57.04,,2228,1738,,1078,567,,234,151,,14081,883,10828,7933,616,4222,6351,2610510,64.85,71.82,2972,2170
12557,6484,6072,1,79.73,100,1977,1639,1,1733,1355,,489,591,,12384,173,9679,7568,745,3537,6557,2610601,84.13,88.28,4348,3602
14310,7394,6916,,71.24,,2093,1663,,1468,1306,,320,433,,14114,196,10744,8254,815,3424,6829,2610602,74.25,77.06,3999,3147
23594,12287,11301,6,61.26,16.67,3375,2731,,1870,1434,,359,337,1,22010,1584,17534,13345,1050,6043,10852,2610603,66.09,70.56,5889,4344
14257,7279,6975,3,51.17,,1573,1233,,868,659,,189,164,,9974,4283,10598,7947,684,2627,6317,2610604,56,60.63,4019,2985
14131,7355,6776,,54.15,,1885,1480,,950,646,,140,124,,13963,168,10341,7726,678,3401,6203,2610605,59.14,63.7,4381,3171
12871,6626,6245,,62.06,,1945,1580,,936,624,,134,106,,12671,200,9173,6597,580,3972,4823,2600101,68.78,75.11,3534,2408
8587,4476,4110,1,49.47,,898,726,,609,428,,89,97,,8304,283,5981,4479,394,2620,3375,2600102,53.6,57.37,2359,1853
33999,17614,16381,4,69.79,50,4940,4014,1,3135,2662,1,652,637,,30748,3251,25492,19541,1802,7923,16059,2600103,73.93,77.79,11157,8327
46703,24037,22661,5,75.17,20,6078,5103,,4968,4822,,1640,1833,,45774,929,35361,27388,2362,10797,22548,2600104,76.15,77.1,9148,6713
26192,13539,12648,5,70.86,80,3614,3022,1,2192,2123,3,392,498,,25883,309,19301,14897,1235,5833,11707,2600105,72.9,74.79,5923,4410
758,409,349,,68.6,,119,103,,66,49,,9,9,,758,,538,413,50,208,325,2600106,73.61,78.21,367,224
11673,6097,5575,1,59.39,,1355,1085,,815,800,,158,186,,11393,280,8335,6366,583,2910,5023,2600107,60.19,60.92,2871,2070
1661,873,788,,59.12,,199,174,,165,80,,11,8,,1646,15,1167,912,114,437,634,2600108,65.38,70.92,546,344
41172,21161,20008,3,71.39,66.67,5264,4375,,3863,3659,1,1212,1365,1,38305,2867,30791,23767,2155,11902,19590,2600109,72.47,73.48,6118,4468
10460,5412,5048,,54.65,,1264,1170,,793,446,,127,70,,9943,517,7408,5520,504,1949,3993,2600110,59.04,63.03,2777,1827
6204,3279,2925,,64.24,,959,713,,482,304,,64,53,,6177,27,4351,3151,264,1348,2312,2600111,71.5,77.97,1719,1099
7567,4003,3563,1,53.64,100,894,769,1,392,333,,47,52,,7436,131,5499,4099,382,1185,2991,2600201,54.25,54.76,1866,1214
27379,14230,13148,1,64.64,100,3493,2780,,1889,2009,1,531,597,,24963,2416,20207,15440,1313,6201,12215,2600202,65.61,66.49,6685,4915
15388,7882,7505,1,67.11,100,2267,1940,,1156,915,1,182,181,,14868,520,11024,8072,795,3005,6414,2600203,71.08,74.83,4507,2939
9647,5065,4582,,52.12,,1337,962,,550,398,,76,82,,9561,86,6731,4912,478,2552,3398,2600204,58.12,63.6,2479,1475
10836,5629,5207,,55.35,,1428,1207,,577,445,,85,73,,10578,258,7685,5709,505,3092,3812,2600205,57.77,59.97,2520,1552
3394,1761,1632,1,64.52,100,564,489,1,190,134,,14,12,,3326,68,2466,1842,185,382,1172,2600206,68.37,71.98,1023,590
1686,898,788,,53.77,,254,190,,100,50,,11,4,,1686,,1148,851,71,463,563,2600207,61.93,68.93,540,302
4718,2486,2232,,59.72,,704,546,,271,211,,48,30,,4501,217,3345,2388,213,831,1842,2600208,64.45,68.71,1316,865
1308,688,620,,50.45,,172,138,,87,53,,12,2,,1294,14,938,696,56,266,466,2600209,56.18,61.38,348,199
12833,6703,6126,4,54.88,75,1521,1231,1,677,562,,95,64,,12321,512,9285,6862,644,3819,4946,2600301,57.43,59.71,3811,2581
4652,2407,2245,,41.74,,485,414,,108,84,,8,5,,3692,960,3242,2399,235,206,1498,2600302,45.06,48.09,1281,742
10975,5772,5203,,48.31,,1277,965,,537,353,,53,56,,10431,544,7688,5465,441,1290,3968,2600303,52.69,56.57,2405,1588
14831,7922,6904,5,66.83,40,2039,1570,,1144,1119,1,219,212,,13669,1162,10948,8479,745,3838,6680,2600304,67.68,68.43,2693,1911
45416,23724,21687,5,50.38,40,4969,4251,1,2297,2232,,326,334,1,43508,1908,33121,24832,2123,13322,18496,2600305,50.52,50.64,12464,8404
3208,1670,1538,,48.18,,318,292,,171,108,,22,22,,3195,13,2380,1819,219,889,1155,2600306,51.18,53.86,1023,692
15320,8054,7266,,62.93,,1942,1697,,801,875,,133,142,,14515,805,11102,8401,732,4128,6331,2600307,63.33,63.69,3911,2808
2194,1175,1019,,57.61,,213,158,,156,96,,32,22,,2050,144,1584,1181,105,205,759,2600308,60.48,62.92,666,409
10588,5472,5116,,87.31,,1498,1206,,1461,1382,,574,649,,10516,72,8323,6529,731,2929,5562,2600401,88.55,89.71,3908,3169
14416,7908,6508,,78.3,,1932,1475,,2665,1594,,734,618,,13771,645,11542,9447,630,3661,8138,2600402,84.73,89.88,3865,2991
15238,7787,7449,2,76.34,50,2203,1861,,1555,1491,,609,599,1,15154,84,11521,9089,820,4440,7545,2600403,78.41,80.39,5308,4197
9901,5147,4748,6,86.43,50,1467,1222,2,1251,1266,1,384,498,,9861,40,7656,6137,663,2941,5179,2600501,86.38,86.38,3740,3060
9435,4723,4712,,82.89,,1462,1238,,1019,1146,,269,354,,9422,13,7303,5723,546,2640,4717,2600502,83.46,84.03,3224,2468
9522,4850,4671,1,85.7,100,1438,1216,,1170,1176,,369,459,1,9507,15,7384,5763,565,2637,4734,2600601,87.2,88.65,3610,2991
13100,6817,6282,1,81.15,100,2023,1684,1,1221,1359,,232,343,,13064,36,9974,7755,688,3914,6168,2600602,80.74,80.36,4312,3203
6225,3189,3034,2,80.71,50,929,754,1,680,673,,142,199,,6214,11,4749,3757,345,1106,3016,2600603,81.85,82.95,2285,1870
6264,3231,3031,2,75.66,100,1042,843,1,542,679,,114,164,1,6043,221,4789,3694,363,1663,2899,2600604,74.71,73.79,2164,1621
5978,3051,2926,1,84.84,,844,739,,854,762,,275,310,,5945,33,4645,3633,422,1665,3083,2600605,86.5,88.12,2008,1597
5567,2750,2816,1,85.17,,838,648,,668,753,,195,239,,5567,,4243,3384,369,1585,2774,2600606,86.8,88.48,1565,1189
5643,2879,2764,,81.87,,825,709,,653,692,,150,196,,5628,15,4320,3400,357,1654,2727,2600607,82.43,82.96,2326,1683
10362,5306,5054,2,80.78,,1622,1265,,981,1107,,231,321,,10181,181,7865,6081,585,2642,4959,2600701,82.07,83.34,2943,2125
6030,3031,2992,7,83.16,85.71,996,845,2,588,680,2,140,217,,5981,49,4585,3582,337,1715,2845,2600702,83.79,84.41,1810,1320
19312,9816,9492,4,86.14,25,3112,2747,,1767,2056,,455,607,,19297,15,14707,11367,1111,4078,9310,2600703,86.84,87.55,5715,4170
15680,8181,7498,1,71,100,2541,1973,1,1187,1302,,226,304,,13869,1811,11599,8963,766,3199,6785,2600704,71.62,72.18,4472,2957
10037,5420,4615,2,62.41,,1106,915,,862,779,,131,144,,9313,724,7280,5562,394,3167,4235,2600801,61.83,61.36,1291,762
13516,7036,6479,1,69.82,100,1851,1513,,1045,1126,1,182,266,,13374,142,9911,7627,617,3944,5487,2600802,69.13,68.49,2046,1286
6348,3300,3048,,83.59,,945,763,,731,732,,193,252,,6314,34,4825,3765,304,1797,3082,2600803,82.69,81.87,1416,977
12987,6648,6339,,78.98,,2083,1644,,1245,1340,,280,397,,12885,102,9776,7515,626,3689,5840,2600804,79.76,80.49,3502,2479
9972,5023,4948,1,79.72,,1487,1245,,1058,1132,,275,356,,9922,50,7412,5862,544,2720,4867,2600805,80.95,82.18,2381,1727
5577,2987,2587,3,78.88,66.67,760,527,,548,549,,222,229,,5507,70,4086,3113,268,1574,2479,2600806,80.2,81.36,999,734
9509,4898,4611,,79.7,,1583,1271,,905,1005,,186,260,,9453,56,7071,5566,460,2832,4312,2600807,79.79,79.87,2520,1722
9218,4729,4489,,77.78,,1394,1236,,928,939,,208,276,,9086,132,6973,5429,486,2714,4239,2600808,78.29,78.77,2207,1469
10239,5289,4950,,80.77,,1519,1281,,1026,1072,,221,314,,10164,75,7784,6173,543,3140,4887,2600809,80.56,80.37,2789,2021
21881,11074,10800,7,74.85,71.43,3235,2809,2,1978,2140,2,418,541,1,21272,609,16478,12785,1222,6325,10349,2600810,75.31,75.76,5460,4007
4790,2439,2350,1,79.44,,697,617,,571,624,,129,198,,4775,15,3752,2957,304,1301,2495,2600811,78.25,77.13,1967,1585
3384,1732,1652,,81.6,,480,385,,427,442,,102,170,,3378,6,2671,2120,274,974,1837,2600812,81.92,82.22,1263,1040
5351,2726,2625,,83.28,,765,688,,668,642,,162,240,,5334,17,4152,3330,346,1656,2757,2600813,82.76,82.26,2212,1761
3003,1564,1438,1,90.85,100,528,417,1,364,367,,72,105,,2993,10,2362,1928,208,747,1634,2600814,89.88,89.02,1075,804
5943,3083,2860,,72.48,,766,676,,578,636,,108,160,,4600,1343,4615,3635,375,1358,2822,2600815,70.29,68.24,2496,1798
11684,5961,5722,1,76.31,,1700,1419,,1159,1244,,217,273,,11663,21,8744,6746,595,2598,5359,2600901,77.05,77.77,2086,1436
5359,2780,2573,6,79.13,33.33,728,611,,692,677,,190,227,2,5342,17,4072,3273,343,1374,2594,2600902,78.9,78.82,1824,1376
7698,3915,3776,7,91.36,85.71,1354,1114,1,1008,1059,2,214,253,1,7688,10,5884,4713,508,2249,4088,2600903,92.86,94.3,1856,1391
10562,5483,5076,3,84.44,66.67,1644,1269,2,1339,1389,,369,479,,10467,95,8229,6501,669,3170,5218,2600904,84.25,84.09,3511,2791
9639,4941,4695,3,81.69,66.67,1399,1168,1,1204,1192,1,350,387,,9620,19,7308,5806,581,2780,4899,2600905,83.28,84.82,2672,2181
8181,4254,3926,1,78.43,100,1155,905,,797,854,,220,258,1,8123,58,6202,4851,497,2497,3976,2600906,79.93,81.31,2327,1815
5068,2631,2435,2,87.87,50,838,707,,606,586,,191,214,,5066,2,3870,3060,272,1438,2563,2601001,89.15,90.39,1383,1038
6951,3638,3313,,84.89,,1158,877,,852,844,,241,289,,6916,35,5321,4287,400,2114,3650,2601002,86.43,87.84,2460,1864
6199,3151,3047,1,81.51,,895,796,,695,699,,214,273,,6175,24,4673,3757,315,1732,3088,2601003,81.68,81.88,2079,1548
11949,6172,5776,1,78.64,,1579,1365,,1194,1269,,319,397,,11909,40,8896,7013,621,2533,5800,2601004,77.98,77.37,2417,1803
17307,9082,8223,2,74.37,,2528,2027,,1320,1271,,188,224,,17085,222,12619,9545,751,4974,7113,2601005,76.94,79.28,4007,2726
16599,8633,7966,,72.07,,2301,1958,,1334,1403,,205,302,,16258,341,12302,9449,760,2981,7172,2601006,72.41,72.73,3855,2646
27911,14683,13224,4,63.43,50,3810,3027,1,1769,1899,1,304,356,,27081,830,20445,15665,1152,7678,11455,2601007,63.84,64.21,3643,2442
13988,7076,6912,,87.93,,2088,1746,,1945,1990,,700,849,,13741,247,11004,8739,932,3529,7331,2601101,88.6,89.26,5295,4424
14895,7610,7284,1,78.82,,2033,1611,,2034,1835,,937,1038,,13583,1312,11933,9502,938,3609,8430,2601201,81.4,83.89,5474,4771
8022,4140,3881,1,73.08,100,1425,1021,,776,732,1,196,244,,7010,1012,6097,4836,429,2202,4085,2601202,76.78,80.19,2882,2233
6881,3318,3563,,84.73,,874,653,,870,1022,,445,580,,6781,100,5398,4366,454,1767,3926,2601203,87.66,90.88,2190,1866
5758,3017,2741,,75.89,,905,692,,576,498,,201,210,,5337,421,4400,3488,296,1788,3038,2601301,80.25,84.2,1731,1358
5745,3042,2702,1,89.9,100,1069,769,1,759,594,,162,199,,5615,130,4495,3626,306,1887,3253,2601302,91.97,93.75,2478,1977
8128,4250,3875,3,75.81,33.33,1394,998,1,907,798,,229,254,,7967,161,6251,4948,450,2382,4345,2601303,79.17,82.18,2499,1977
11047,5637,5408,2,88.66,100,1527,1259,,1519,1590,,561,667,,11018,29,8643,6890,708,3095,6001,2601401,89.01,89.34,5454,4562
27826,14426,13396,4,82.79,25,4497,3343,1,3505,3260,,1015,1113,,27398,428,21579,17102,1539,7235,14867,2601402,85.75,88.51,6172,5007
9022,4647,4374,1,72.79,100,1445,1083,,820,783,,117,174,1,8826,196,6764,5295,500,2514,4878,2601403,75.87,78.79,2623,1981
9305,5110,4193,2,67.24,,1437,807,,923,593,,207,203,,9106,199,6865,5352,417,2195,4573,2601404,74.35,80.03,2078,1653
4868,2652,2211,5,80.18,100,905,582,1,578,485,3,140,117,,4703,165,3702,2839,251,72,2401,2601405,83.55,86.15,871,649
11021,5861,5157,3,72.44,,1663,1227,,1145,1027,,433,444,,9006,2015,8803,7019,546,3564,6118,2601501,74.01,75.42,3328,2565
7025,3708,3314,3,82.79,33.33,921,706,,1019,954,1,413,410,,6804,221,5685,4600,541,1626,4051,2601502,83.89,84.92,3124,2595
3130,1633,1496,1,94.35,100,558,431,,403,413,,107,159,1,3057,73,2471,2023,245,1011,1803,2601503,95.1,95.82,1036,798
5442,2735,2706,1,90.64,,764,651,,740,763,,321,372,,5126,316,4326,3417,402,1395,3082,2601504,91.56,92.53,1404,1192
